Date,Price,Open,High,Low,Vol. ('000),Change %
4/5/2025,83552.10,83876.00,84249.30,82384.40,32.71,-0.38%
4/4/2025,83866.70,83160.20,84704.10,81691.10,91.54,0.85%
4/3/2025,83159.40,82522.60,83908.90,81313.80,83.15,0.77%
4/2/2025,82525.00,85166.00,88377.30,82358.90,104.05,-3.10%
4/1/2025,85164.20,82548.60,85506.20,82435.80,66.72,3.17%
03/31/2025,82548.80,82375.40,83895.60,81300.10,61.76,0.22%
03/30/2025,82371.60,82646.80,83532.90,81593.20,35.37,-0.33%
03/29/2025,82645.70,84412.10,84603.40,81668.20,39.34,-2.09%
03/28/2025,84410.40,87209.50,87507.50,83596.70,85.25,-3.23%
03/27/2025,87228.20,86937.00,87751.40,85844.40,56.49,0.36%
03/26/2025,86912.00,87349.80,88276.70,85866.40,62.04,-0.56%
03/25/2025,87404.00,87495.30,88523.30,86328.50,75.24,-0.10%
03/24/2025,87490.00,86076.10,88740.20,85541.60,95.71,1.64%
03/23/2025,86077.40,83840.20,86082.00,83812.70,31.13,2.67%
03/22/2025,83840.50,84076.60,84526.30,83688.20,20.84,-0.28%
03/21/2025,84073.30,84208.70,84831.00,83215.90,42.8,-0.16%
03/20/2025,84208.10,86841.30,87419.00,83656.10,69.86,-3.03%
03/19/2025,86841.00,82719.10,86990.60,82557.50,84.61,4.98%
03/18/2025,82719.10,84019.10,84019.10,81171.30,58.17,-1.55%
03/17/2025,84019.10,82580.30,84729.20,82525.00,58.04,1.74%
03/16/2025,82578.40,84341.30,84942.50,82014.20,50.04,-2.09%
03/15/2025,84341.30,83978.70,84679.50,83636.40,38.4,0.43%
03/14/2025,83977.10,81103.50,85286.60,80833.20,81.23,3.55%
03/13/2025,81100.20,83664.70,84292.00,79954.90,79.25,-3.06%
3/12/2025,83664.30,82921.10,84266.50,80646.60,88.61,0.90%
3/11/2025,82921.10,78579.70,83572.60,76677.10,123.59,5.53%
3/10/2025,78575.90,80702.20,83902.80,77480.50,120.23,-2.62%
3/9/2025,80691.60,86221.50,86498.60,80048.90,69.9,-6.41%
3/8/2025,86221.90,86783.80,86886.80,85264.60,41.9,-0.36%
3/7/2025,86531.20,89879.50,91059.80,84864.30,138.11,-3.78%
3/6/2025,89930.90,90611.70,92802.00,87849.60,89.27,-0.75%
3/5/2025,90611.70,87269.50,90937.80,86429.40,95.54,3.83%
3/4/2025,87266.30,86083.80,88887.80,81617.00,132.5,1.23%
3/3/2025,86209.70,94266.10,94266.10,85140.80,143.15,-8.55%
3/2/2025,94265.10,86065.70,94986.50,85069.30,126.76,9.52%
3/1/2025,86071.60,84353.40,86546.30,83837.30,79.51,2.00%
02/28/2025,84381.20,84713.30,85028.70,78329.80,186.9,-0.39%
02/27/2025,84714.60,84204.60,87013.90,82723.50,116.14,0.60%
02/26/2025,84212.70,88675.00,89375.30,82332.90,145.33,-5.04%
02/25/2025,88686.00,91510.40,92523.10,86097.50,195.29,-3.08%
02/24/2025,91508.50,96261.00,96497.90,91378.50,96.46,-4.93%
02/23/2025,96258.80,96556.20,96655.20,95259.50,38.82,-0.31%
02/22/2025,96556.10,96158.30,96930.80,95801.10,45.62,0.42%
02/21/2025,96155.60,98310.30,99473.40,94903.60,104.28,-2.19%
02/20/2025,98310.30,96645.20,98721.60,96441.90,61.84,1.72%
02/19/2025,96644.80,95663.70,96829.60,95049.10,58.27,1.05%
02/18/2025,95638.00,95781.50,96645.10,93403.40,74.09,-0.15%
02/17/2025,95781.30,96120.20,97002.30,95222.00,58.4,-0.36%
02/16/2025,96132.10,97573.10,97706.50,96060.20,33.35,-1.48%
02/15/2025,97573.40,97504.40,97973.20,97210.80,29.65,0.07%
02/14/2025,97504.60,96611.60,98817.30,96316.50,65.37,0.93%
02/13/2025,96610.20,97874.70,98079.60,95295.40,66.76,-1.30%
2/12/2025,97881.30,95777.20,98095.80,94110.70,87.21,2.20%
2/11/2025,95771.70,97434.70,98476.50,94902.70,69.89,-1.71%
2/10/2025,97434.70,96469.20,98311.60,95307.70,71.43,1.00%
2/9/2025,96469.20,96448.40,97297.80,94750.40,48.38,0.02%
2/8/2025,96447.90,96513.50,96862.80,95716.10,38.99,-0.07%
2/7/2025,96513.50,96564.80,100133.90,95693.70,97.6,-0.06%
2/6/2025,96568.80,96606.30,99119.20,95706.60,76.92,-0.03%
2/5/2025,96595.30,97784.80,99028.30,96163.80,82.92,-1.23%
2/4/2025,97793.40,101339.70,101692.90,96190.50,117.35,-3.50%
2/3/2025,101337.10,97686.00,102372.20,91695.80,190.81,3.74%
2/2/2025,97684.90,100647.10,101451.00,96250.20,99.36,-2.94%
2/1/2025,100648.00,102421.30,102770.80,100293.50,47.48,-1.73%
01/31/2025,102424.20,104726.90,105876.30,101576.00,82.79,-2.20%
01/30/2025,104726.90,103723.00,106409.10,103388.40,74.84,0.97%
01/29/2025,103722.00,101342.10,104760.00,101340.60,74.38,2.34%
01/28/2025,101349.30,102085.20,103584.10,100288.00,74.69,-0.73%
01/27/2025,102091.70,102618.30,103234.80,97987.50,146.38,-0.53%
01/26/2025,102637.80,104743.80,105399.80,102543.80,32.18,-2.01%
01/25/2025,104742.90,104861.40,105255.60,104133.90,37.68,-0.11%
01/24/2025,104862.30,103913.60,107102.20,102760.00,83.96,0.91%
01/23/2025,103912.10,103681.30,106806.50,101281.60,141.8,0.22%
01/22/2025,103684.80,106157.20,106266.20,103354.40,77.56,-2.33%
01/21/2025,106157.20,102190.20,107211.90,100192.50,129.36,3.87%
01/20/2025,102197.70,101313.30,109228.60,99676.00,202.66,0.87%
01/19/2025,101319.50,104536.80,106338.20,99742.70,123.72,-3.08%
01/18/2025,104536.90,104084.70,104953.10,102297.00,79.3,0.43%
