Date,ETH_Price,ETH_Volume
2015-08-07,$2.77,56374.0
2015-08-08,$0.7533,382082.0
2015-08-09,$0.7019,729741.0
2015-08-10,$0.7084,581293.0
2015-08-11,$1.07,1638721.0
2015-08-12,$1.22,1931575.0
2015-08-13,$1.83,2629195.0
2015-08-14,$1.83,2424591.0
2015-08-15,$1.69,1472254.0
2015-08-16,$1.57,2351517.0
2015-08-17,$1.20,1400238.0
2015-08-18,$1.09,1256389.0
2015-08-19,$1.26,1208325.0
2015-08-20,$1.46,2071956.0
2015-08-21,$1.40,1396180.0
2015-08-22,$1.38,676157.0
2015-08-23,$1.35,1168603.0
2015-08-24,$1.23,715605.0
2015-08-25,$1.14,1103105.0
2015-08-26,$1.16,929011.0
2015-08-27,$1.15,590677.0
2015-08-28,$1.19,618306.0
2015-08-29,$1.18,317444.0
2015-08-30,$1.32,1061627.0
2015-08-31,$1.36,1096348.0
2015-09-01,$1.35,573747.0
2015-09-02,$1.29,673348.0
2015-09-03,$1.26,553536.0
2015-09-04,$1.27,374273.0
2015-09-05,$1.34,342985.0
2015-09-06,$1.30,371297.0
2015-09-07,$1.25,383540.0
2015-09-08,$1.24,342314.0
2015-09-09,$1.21,298776.0
2015-09-10,$1.17,559310.0
2015-09-11,$0.9830,1826759.0
2015-09-12,$1.04,752304.0
2015-09-13,$0.9360,657479.0
2015-09-14,$0.8756,814976.0
2015-09-15,$0.9444,751327.0
2015-09-16,$0.9072,664879.0
2015-09-17,$0.8742,1019971.0
2015-09-18,$0.8537,561837.0
2015-09-19,$0.8824,445113.0
2015-09-20,$0.9384,558498.0
2015-09-21,$0.9190,458896.0
2015-09-22,$0.9018,541270.0
2015-09-23,$0.8934,223381.0
2015-09-24,$0.8136,987570.0
2015-09-25,$0.7362,1167761.0
2015-09-26,$0.7860,489487.0
2015-09-27,$0.7208,547616.0
2015-09-28,$0.5829,2040505.0
2015-09-29,$0.6611,1477316.0
2015-09-30,$0.7386,891204.0
2015-10-01,$0.6902,847091.0
2015-10-02,$0.6786,323952.0
2015-10-03,$0.6872,237510.0
2015-10-04,$0.6684,152844.0
2015-10-05,$0.6286,361194.0
2015-10-06,$0.6506,414797.0
2015-10-07,$0.6094,346740.0
2015-10-08,$0.6217,505252.0
2015-10-09,$0.6506,587683.0
2015-10-10,$0.6279,222707.0
2015-10-11,$0.6350,162091.0
2015-10-12,$0.6260,172251.0
2015-10-13,$0.6077,491745.0
2015-10-14,$0.5230,1741784.0
2015-10-15,$0.5619,683093.0
2015-10-16,$0.5365,456321.0
2015-10-17,$0.5472,578087.0
2015-10-18,$0.5177,250974.0
2015-10-19,$0.4890,485258.0
2015-10-20,$0.4348,826524.0
2015-10-21,$0.4473,1366578.0
2015-10-22,$0.5677,1801765.0
2015-10-23,$0.5397,1581999.0
2015-10-24,$0.5636,469876.0
2015-10-25,$0.6160,1046407.0
2015-10-26,$0.7313,1610127.0
2015-10-27,$0.8696,2318400.0
2015-10-28,$1,2538839.0
2015-10-29,$1.21,2082746.0
2015-10-30,$1.04,2127071.0
2015-10-31,$0.9166,686454.0
2015-11-01,$1.06,594872.0
2015-11-02,$0.9898,1116333.0
2015-11-03,$1.01,1902371.0
2015-11-04,$0.8991,3331241.0
2015-11-05,$0.8956,1293692.0
2015-11-06,$0.9260,994851.0
2015-11-07,$0.9280,973139.0
2015-11-08,$1.03,1049988.0
2015-11-09,$1.00,2002957.0
2015-11-10,$0.9343,875300.0
2015-11-11,$0.7918,1500602.0
2015-11-12,$0.8957,956977.0
2015-11-13,$0.9041,608278.0
2015-11-14,$0.8888,416531.0
2015-11-15,$0.9064,458365.0
2015-11-16,$0.9290,676442.0
2015-11-17,$1.01,1183690.0
2015-11-18,$0.99,691994.0
2015-11-19,$0.9555,455866.0
2015-11-20,$0.9249,657928.0
2015-11-21,$0.9761,479397.0
2015-11-22,$0.9680,382609.0
2015-11-23,$0.9470,463013.0
2015-11-24,$0.9002,568138.0
2015-11-25,$0.8635,710374.0
2015-11-26,$0.8842,1096784.0
2015-11-27,$0.8680,460081.0
2015-11-28,$0.9157,517410.0
2015-11-29,$0.8786,502722.0
2015-11-30,$0.8731,897574.0
2015-12-01,$0.8748,747449.0
2015-12-02,$0.8212,597180.0
2015-12-03,$0.8121,663875.0
2015-12-04,$0.8400,291216.0
2015-12-05,$0.8624,273743.0
2015-12-06,$0.8355,519224.0
2015-12-07,$0.8113,633481.0
2015-12-08,$0.8221,551499.0
2015-12-09,$0.7922,777467.0
