Date;Gold_Price;Gold_Volume
2014-01-01;1208.26;49477.0
2014-01-02;1224.56;56067.0
2014-01-03;1236.05;69410.0
2014-01-04;1236.05;69410.0
2014-01-05;1236.05;69410.0
2014-01-06;1237.71;75934.0
2014-01-07;1231.71;72641.0
2014-01-08;1225.28;70825.0
2014-01-09;1227.65;57178.0
2014-01-10;1247.78;62217.0
2014-01-11;1247.78;62217.0
2014-01-12;1247.78;62217.0
2014-01-13;1252.93;57204.0
2014-01-14;1245.06;56721.0
2014-01-15;1241.6;60041.0
2014-01-16;1242.1;55807.0
2014-01-17;1253.75;55796.0
2014-01-18;1253.75;55796.0
2014-01-19;1253.75;55796.0
2014-01-20;1250.81;32412.0
2014-01-21;1241.05;56450.0
2014-01-22;1236.5;48568.0
2014-01-23;1264.43;70092.0
2014-01-24;1269.22;70466.0
2014-01-25;1269.22;70466.0
2014-01-26;1269.22;70466.0
2014-01-27;1256.64;72540.0
2014-01-28;1256.28;54189.0
2014-01-29;1267.59;62342.0
2014-01-30;1243.44;66634.0
2014-01-31;1243.85;61128.0
2014-02-01;1243.85;61128.0
2014-02-02;1243.85;61128.0
2014-02-03;1257.41;59131.0
2014-02-04;1254.66;59118.0
2014-02-05;1258.01;59110.0
2014-02-06;1257.66;54850.0
2014-02-07;1267.35;60041.0
2014-02-08;1267.35;60041.0
2014-02-09;1267.35;60041.0
2014-02-10;1274.59;52232.0
2014-02-11;1291.52;67835.0
2014-02-12;1290.83;64027.0
2014-02-13;1302.72;64497.0
2014-02-14;1318.14;73764.0
2014-02-15;1318.14;73764.0
2014-02-16;1318.14;73764.0
2014-02-17;1328.33;49567.0
2014-02-18;1321.43;73478.0
2014-02-19;1311.47;67558.0
2014-02-20;1322.56;67785.0
2014-02-21;1324.09;57949.0
2014-02-22;1324.09;57949.0
2014-02-23;1324.09;57949.0
2014-02-24;1336.73;63186.0
2014-02-25;1340.41;59954.0
2014-02-26;1330.9;66680.0
2014-02-27;1330.96;65893.0
2014-02-28;1326.21;69861.0
2014-03-01;1326.21;69861.0
2014-03-02;1326.21;69861.0
2014-03-03;1350.44;75560.0
2014-03-04;1334.71;73978.0
2014-03-05;1336.84;62468.0
2014-03-06;1351.02;59514.0
2014-03-07;1340.17;70297.0
2014-03-08;1340.17;70297.0
2014-03-09;1340.17;70297.0
2014-03-10;1339.22;63069.0
2014-03-11;1348.43;59006.0
2014-03-12;1363.65;74216.0
2014-03-13;1366.3;77093.0
2014-03-14;1382.27;70674.0
2014-03-15;1382.27;70674.0
2014-03-16;1382.27;70674.0
2014-03-17;1366.68;70760.0
2014-03-18;1355.44;70782.0
2014-03-19;1327.9;78233.0
2014-03-20;1327.56;73744.0
2014-03-21;1333.55;56770.0
